"date","region","travel_rate","total_flights"
2020-05-29,"Alabama",0.0324774474815054,5
2020-05-29,"Alaska",0.0339273353330612,20
2020-05-29,"Arizona",0.0352818924056012,111
2020-05-29,"Arkansas",0.0324697029091127,5
2020-05-29,"California",0.022820057711143,192
2020-05-29,"Colorado",0.0315699860870418,155
2020-05-29,"Connecticut",0.0193471169073805,13
2020-05-29,"Florida",0.0368691626948855,207
2020-05-29,"Georgia",0.0404929211243881,203
2020-05-29,"Hawaii",0.0331227433425074,15
2020-05-29,"Idaho",0.0401114489602544,3
2020-05-29,"Illinois",0.0226108847850011,195
2020-05-29,"Indiana",0.0271982180782322,19
2020-05-29,"Iowa",0.0289036006196548,3
2020-05-29,"Kansas",0.0333812371478714,3
2020-05-29,"Kentucky",0.0246327453598486,6
2020-05-29,"Louisiana",0.0305394010458679,25
2020-05-29,"Maine",0.0266392573377058,3
2020-05-29,"Maryland",0.0321242870645489,98
2020-05-29,"Massachusetts",0.0204930838543008,37
2020-05-29,"Michigan",0.0250543412979613,49
2020-05-29,"Minnesota",0.0287299147995678,44
2020-05-29,"Mississippi",0.0348413334585571,1
2020-05-29,"Missouri",0.0316302419562609,50
2020-05-29,"Montana",0.0410796298915223,1
2020-05-29,"Nebraska",0.0310736453221249,10
2020-05-29,"Nevada",0.0439003293258739,104
2020-05-29,"New Hampshire",0.0301772985752462,5
2020-05-29,"New Jersey",0.0226552240156151,30
2020-05-29,"New Mexico",0.0449440129790879,10
2020-05-29,"New York",0.0170444814873094,28
2020-05-29,"North Carolina",0.0342971158386562,100
2020-05-29,"Ohio",0.0229792215951868,13
2020-05-29,"Oklahoma",0.0274907963954349,8
2020-05-29,"Oregon",0.0299290108275188,25
2020-05-29,"Pennsylvania",0.0216717907135258,49
2020-05-29,"Rhode Island",0.0242615189564177,7
2020-05-29,"South Carolina",0.0421305929220883,6
2020-05-29,"Tennessee",0.0331064490070145,56
2020-05-29,"Texas",0.0328050953488073,240
2020-05-29,"Utah",0.0339742686421145,60
2020-05-29,"Washington",0.0296326818542924,48
2020-05-29,"Washington D. C.",0.035937455686749,68
2020-05-29,"Wisconsin",0.0256528475633088,15
2020-05-30,"Alabama",0.0285843873900502,5
2020-05-30,"Alaska",0.0332168668932178,14
2020-05-30,"Arizona",0.0325657072389621,93
2020-05-30,"Arkansas",0.0304980494132073,5
2020-05-30,"California",0.0221943180503617,190
2020-05-30,"Colorado",0.0294841464813608,156
2020-05-30,"Connecticut",0.0189465466859367,11
2020-05-30,"Florida",0.035081914996306,199
2020-05-30,"Georgia",0.0377846978721088,193
2020-05-30,"Hawaii",0.0299240521690471,15
2020-05-30,"Idaho",0.0377026730415032,3
2020-05-30,"Illinois",0.0208516300936109,170
2020-05-30,"Indiana",0.0252419886565152,18
2020-05-30,"Iowa",0.0260208450169746,2
2020-05-30,"Kansas",0.030356525926779,2
2020-05-30,"Kentucky",0.0233851637170298,6
2020-05-30,"Louisiana",0.0258143915107772,23
2020-05-30,"Maine",0.0251281313304626,3
2020-05-30,"Maryland",0.0315885524045143,104
2020-05-30,"Massachusetts",0.0199498677015553,28
2020-05-30,"Michigan",0.0239592717045382,49
2020-05-30,"Minnesota",0.0272291043870583,42
2020-05-30,"Missouri",0.029244533502958,47
2020-05-30,"Montana",0.0371598525864169,1
2020-05-30,"Nebraska",0.0293903902056385,11
2020-05-30,"Nevada",0.0429650891166111,99
2020-05-30,"New Hampshire",0.0281762063828827,5
2020-05-30,"New Jersey",0.0215290939428972,29
2020-05-30,"New Mexico",0.0392716879356052,8
2020-05-30,"New York",0.0169768990131785,28
2020-05-30,"North Carolina",0.0324541755842488,98
2020-05-30,"Ohio",0.0213639233134944,13
2020-05-30,"Oklahoma",0.0252780791401071,8
2020-05-30,"Oregon",0.0276335045481936,20
2020-05-30,"Pennsylvania",0.0199730747419401,34
2020-05-30,"Rhode Island",0.0230829478786446,9
2020-05-30,"South Carolina",0.0389664369598806,8
2020-05-30,"Tennessee",0.0308352618163621,60
2020-05-30,"Texas",0.0287486508937057,234
2020-05-30,"Utah",0.0303411283914179,55
2020-05-30,"Washington",0.0282129184132699,45
2020-05-30,"Washington D. C.",0.0328355960292616,65
2020-05-30,"Wisconsin",0.023075254796825,15
2020-05-31,"Alabama",0.0323331496174009,6
2020-05-31,"Alaska",0.0342631358292701,12
2020-05-31,"Arizona",0.0344273888688202,119
2020-05-31,"Arkansas",0.0327291349271978,5
2020-05-31,"California",0.0228523725439244,195
2020-05-31,"Colorado",0.0310103581513753,165
2020-05-31,"Connecticut",0.0197001187355811,12
2020-05-31,"Florida",0.0369635832203818,215
2020-05-31,"Georgia",0.0407359451026712,210
2020-05-31,"Hawaii",0.0343744760849868,15
2020-05-31,"Idaho",0.0412658298636678,4
2020-05-31,"Illinois",0.0229677514376767,205
2020-05-31,"Indiana",0.0275278918524719,17
2020-05-31,"Iowa",0.0292513774072279,3
2020-05-31,"Kansas",0.0337237857858666,3
2020-05-31,"Kentucky",0.0254264859076107,6
2020-05-31,"Louisiana",0.0306592172029869,25
2020-05-31,"Maine",0.0264407070560995,2
2020-05-31,"Maryland",0.0324789305232291,109
2020-05-31,"Massachusetts",0.0204032597296283,37
2020-05-31,"Michigan",0.0247957982609687,49
2020-05-31,"Minnesota",0.029907576084413,45
2020-05-31,"Mississippi",0.0340589606748659,1
2020-05-31,"Missouri",0.030943333954836,52
