"","age_gp","sex","region","july1_2020","july1_2021"
"140","85+","male","Colorado",30165,30458
"141","85+","female","Colorado",51349,50830
"142","Total","total","Colorado",5784308,5812069
"143","Total","male","Colorado",2929987,2944650
"144","Total","female","Colorado",2854321,2867419
"145","0-17","total","Connecticut",738511,729710
"146","0-17","male","Connecticut",377068,372085
"147","0-17","female","Connecticut",361443,357625
"148","18-29","total","Connecticut",563515,566509
"149","18-29","male","Connecticut",288489,289827
"150","18-29","female","Connecticut",275026,276682
"151","30-49","total","Connecticut",888192,891548
"152","30-49","male","Connecticut",441153,443183
"153","30-49","female","Connecticut",447039,448365
"154","50-64","total","Connecticut",775407,768595
"155","50-64","male","Connecticut",379215,375565
"156","50-64","female","Connecticut",396192,393030
"157","65-74","total","Connecticut",366790,378532
"158","65-74","male","Connecticut",172644,178258
"159","65-74","female","Connecticut",194146,200274
"160","75-84","total","Connecticut",185700,190277
"161","75-84","male","Connecticut",80885,82909
"162","75-84","female","Connecticut",104815,107368
"163","85+","total","Connecticut",82145,80426
"164","85+","male","Connecticut",28032,27760
"165","85+","female","Connecticut",54113,52666
"166","Total","total","Connecticut",3600260,3605597
"167","Total","male","Connecticut",1767486,1769587
"168","Total","female","Connecticut",1832774,1836010
"169","0-17","total","Washington D. C.",126860,125835
"170","0-17","male","Washington D. C.",64347,63873
"171","0-17","female","Washington D. C.",62513,61962
"172","18-29","total","Washington D. C.",146653,135505
"173","18-29","male","Washington D. C.",66200,60816
"174","18-29","female","Washington D. C.",80453,74689
"175","30-49","total","Washington D. C.",228654,222240
"176","30-49","male","Washington D. C.",112360,108952
"177","30-49","female","Washington D. C.",116294,113288
"178","50-64","total","Washington D. C.",103302,100632
"179","50-64","male","Washington D. C.",50933,49687
"180","50-64","female","Washington D. C.",52369,50945
"181","65-74","total","Washington D. C.",49835,50717
"182","65-74","male","Washington D. C.",21727,22136
"183","65-74","female","Washington D. C.",28108,28581
"184","75-84","total","Washington D. C.",24071,24518
"185","75-84","male","Washington D. C.",9723,9847
"186","75-84","female","Washington D. C.",14348,14671
"187","85+","total","Washington D. C.",10718,10603
"188","85+","male","Washington D. C.",3620,3593
"189","85+","female","Washington D. C.",7098,7010
"190","Total","total","Washington D. C.",690093,670050
"191","Total","male","Washington D. C.",328910,318904
"192","Total","female","Washington D. C.",361183,351146
"193","0-17","total","Delaware",208446,208294
"194","0-17","male","Delaware",105979,105847
"195","0-17","female","Delaware",102467,102447
"196","18-29","total","Delaware",145753,145232
"197","18-29","male","Delaware",73303,73186
"198","18-29","female","Delaware",72450,72046
"199","30-49","total","Delaware",239602,242112
"200","30-49","male","Delaware",117989,119044
"201","30-49","female","Delaware",121613,123068
"202","50-64","total","Delaware",204388,206100
"203","50-64","male","Delaware",97382,98076
"204","50-64","female","Delaware",107006,108024
"205","65-74","total","Delaware",118700,124397
"206","65-74","male","Delaware",55151,57708
"207","65-74","female","Delaware",63549,66689
"208","75-84","total","Delaware",56359,58586
"209","75-84","male","Delaware",25469,26410
"210","75-84","female","Delaware",30890,32176
"211","85+","total","Delaware",18638,18663
"212","85+","male","Delaware",6936,7065
"213","85+","female","Delaware",11702,11598
"214","Total","total","Delaware",991886,1003384
"215","Total","male","Delaware",482209,487336
"216","Total","female","Delaware",509677,516048
"217","0-17","total","Florida",4282995,4289280
"218","0-17","male","Florida",2189134,2192114
"219","0-17","female","Florida",2093861,2097166
"220","18-29","total","Florida",3077692,3061710
"221","18-29","male","Florida",1565368,1557698
"222","18-29","female","Florida",1512324,1504012
"223","30-49","total","Florida",5403891,5454744
"224","30-49","male","Florida",2710098,2735759
"225","30-49","female","Florida",2693793,2718985
"226","50-64","total","Florida",4332118,4377008
"227","50-64","male","Florida",2106316,2131200
"228","50-64","female","Florida",2225802,2245808
"229","65-74","total","Florida",2512214,2591258
"230","65-74","male","Florida",1168644,1204371
"231","65-74","female","Florida",1343570,1386887
"232","75-84","total","Florida",1428182,1470807
"233","75-84","male","Florida",651378,670097
"234","75-84","female","Florida",776804,800710
"235","85+","total","Florida",532840,536321
"236","85+","male","Florida",215283,219118
"237","85+","female","Florida",317557,317203
"238","Total","total","Florida",21569932,21781128
"239","Total","male","Florida",10606221,10710357
"240","Total","female","Florida",10963711,11070771
"241","0-17","total","Georgia",2534740,2524302
"242","0-17","male","Georgia",1291365,1285905
"243","0-17","female","Georgia",1243375,1238397
"244","18-29","total","Georgia",1763764,1767389
"245","18-29","male","Georgia",888363,889419
"246","18-29","female","Georgia",875401,877970
"247","30-49","total","Georgia",2855935,2867932
"248","30-49","male","Georgia",1392720,1396198
"249","30-49","female","Georgia",1463215,1471734
"250","50-64","total","Georgia",2036482,2055872
"251","50-64","male","Georgia",989864,999102
"252","50-64","female","Georgia",1046618,1056770
"253","65-74","total","Georgia",955153,987987
"254","65-74","male","Georgia",438268,452769
"255","65-74","female","Georgia",516885,535218
"256","75-84","total","Georgia",439908,455027
"257","75-84","male","Georgia",190560,196943
"258","75-84","female","Georgia",249348,258084
"259","85+","total","Georgia",139818,141057
"260","85+","male","Georgia",48235,49425
"261","85+","female","Georgia",91583,91632
"262","Total","total","Georgia",10725800,10799566
"263","Total","male","Georgia",5239375,5269761
"264","Total","female","Georgia",5486425,5529805
"265","0-17","total","Hawaii",309553,304399
"266","0-17","male","Hawaii",159598,156835
"267","0-17","female","Hawaii",149955,147564
"268","18-29","total","Hawaii",219090,212701
"269","18-29","male","Hawaii",117483,114175
"270","18-29","female","Hawaii",101607,98526
"271","30-49","total","Hawaii",376407,374094
"272","30-49","male","Hawaii",192488,190969
"273","30-49","female","Hawaii",183919,183125
"274","50-64","total","Hawaii",271496,268055
"275","50-64","male","Hawaii",135354,133810
"276","50-64","female","Hawaii",136142,134245
"277","65-74","total","Hawaii",159090,162622
"278","65-74","male","Hawaii",77280,78686
"279","65-74","female","Hawaii",81810,83936
"280","75-84","total","Hawaii",77241,80866
"281","75-84","male","Hawaii",35086,36924
"282","75-84","female","Hawaii",42155,43942
"283","85+","total","Hawaii",39034,38816
"284","85+","male","Hawaii",14016,13934
"285","85+","female","Hawaii",25018,24882
"286","Total","total","Hawaii",1451911,1441553
"287","Total","male","Hawaii",731305,725333
"288","Total","female","Hawaii",720606,716220
"289","0-17","total","Idaho",462389,469026
"290","0-17","male","Idaho",237133,240429
"291","0-17","female","Idaho",225256,228597
"292","18-29","total","Idaho",289790,297387
"293","18-29","male","Idaho",149851,153992
"294","18-29","female","Idaho",139939,143395
"295","30-49","total","Idaho",465600,482604
"296","30-49","male","Idaho",236758,245239
