region,age_gp,sex,date,loess_rate,deaths,pop_est,pop_est_adj,death_rate_adj,death_rate
Mississippi,30-49,male,2020-11-01,0.03436609676921441,23,357435,369718.6457987041,6.22094672837315,6.4347363856365485
Mississippi,30-49,male,2020-12-01,0.03405584128290274,66,357306,369474.3564254289,17.86321536318064,18.471562190391428
Mississippi,30-49,male,2021-01-01,0.03101515666314827,47,357177,368254.9006114733,12.762898720956132,13.15874202426248
Mississippi,30-49,male,2021-02-01,0.02964330109352322,30,357048,367632.0813688403,8.160332441145528,8.402231632721652
Mississippi,30-49,male,2021-03-01,0.03160704559499602,0,356919,368200.15510672034,0,0
Mississippi,30-49,male,2021-04-01,0.03258161639009849,0,356790,368414.79491182324,0,0
Mississippi,30-49,male,2021-05-01,0.0325854856724956,13,356661,368282.97190543794,3.5298943996080117,3.64491772299186
Mississippi,30-49,male,2021-06-01,0.0325047091887626,0,356532,368120.96897648793,0,0
Mississippi,30-49,male,2021-07-01,0.03225131897832224,44,356403,367897.46683783096,11.95985402622932,12.345575093363411
Mississippi,50-64,male,2020-07-01,0.03056439382711224,211,272920,281261.6343632955,75.01911893445762,77.31203283013336
Mississippi,50-64,male,2020-08-01,0.03006385758121232,203,272796.5,280997.81512465316,72.24255459422251,74.41444446684616
Mississippi,50-64,male,2020-09-01,0.02912795732238574,138,272673,280615.4075069669,49.1776275672154,50.610071404209435
Mississippi,50-64,male,2020-10-01,0.02884540960738585,102,272549.5,280411.3019657882,36.375138692678156,37.424394467793924
Mississippi,50-64,male,2020-11-01,0.0294247728192526,151,272426,280442.0731600577,53.843561452285805,55.42789601579879
Mississippi,50-64,male,2020-12-01,0.02873613500230045,293,272302.5,280127.421401464,104.595258305715,107.60092176898854
Mississippi,50-64,male,2021-01-01,0.02667369005337332,345,272179,279439.0182850371,123.46164186995838,126.75481943867821
Mississippi,50-64,male,2021-02-01,0.02572906237827896,231,272055.5,279055.23292985384,82.7793113122041,84.90914537658676
Mississippi,50-64,male,2021-03-01,0.02646495198446082,97,271932,279128.6673230384,34.75099886022848,35.67068237647647
Mississippi,50-64,male,2021-04-01,0.02679595829217343,51,271808.5,279091.8692294583,18.273552769847917,18.763210127718597
Mississippi,50-64,male,2021-05-01,0.02720064347575655,80,271685,279075.0068227109,28.666128475926875,29.445865616430794
Mississippi,50-64,male,2021-06-01,0.02751598247534759,52,271561.5,279033.78147497907,18.635736406225362,19.148517002594257
Mississippi,50-64,male,2021-07-01,0.02777389606884552,93,271438,278976.89080113533,33.336094517697425,34.26196774217317
Missouri,18-29,male,2020-07-01,0.02724208284242442,0,489487,502821.6454042898,0,0
Missouri,18-29,male,2020-08-01,0.02714650993192248,0,489366.75,502651.34933922766,0,0
Missouri,18-29,male,2020-09-01,0.02597380496607213,0,489246.5,501954.09317133337,0,0
Missouri,18-29,male,2020-10-01,0.02497207860589797,0,489126.25,501340.7491632081,0,0
Missouri,18-29,male,2020-11-01,0.02544784124270999,0,489006,501450.1470547326,0,0
Missouri,18-29,male,2020-12-01,0.0253313937303615,0,488885.75,501269.90742241306,0,0
Missouri,18-29,male,2021-01-01,0.023242094741123,0,488765.5,500125.4340571923,0,0
Missouri,18-29,male,2021-02-01,0.02166075764863626,0,488645.25,499229.6763364073,0,0
Missouri,18-29,male,2021-03-01,0.02186627260794042,0,488525,499207.2208257941,0,0
Missouri,18-29,male,2021-04-01,0.023101875415587,0,488404.75,499687.8156868809,0,0
Missouri,18-29,male,2021-05-01,0.02357819323813365,0,488284.5,499797.3662961855,0,0
Missouri,18-29,male,2021-06-01,0.02357926357279369,0,488164.25,499674.80351756513,0,0
