"sex","region","daily","monthly","date","time_of_day","time_info"
"M","Canada",6708967,9400000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"M","United States",59987899,8.5e+07,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Alberta",1030690,1300000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","British Columbia",1130984,1500000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Manitoba",312675,4e+05,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","New Brunswick",216217,260000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Newfoundland and Labrador",165408,190000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Northwest Territories",12319,14000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Nova Scotia",272490,330000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Nunavut",9849,12000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Ontario",3161213,4200000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Prince Edward Island",44465,52000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Quebec",2043987,2600000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Saskatchewan",308202,370000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Yukon",10626,13000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Alabama",1363948,1700000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Alaska",186079,250000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Arizona",1659888,2200000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Arkansas",797472,1e+06,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","California",7996119,1.1e+07,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Colorado",1359934,1800000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Connecticut",866081,1100000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Delaware",228251,290000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Florida",5318599,7e+06,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Georgia",2624243,3400000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Hawaii",296466,4e+05,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Idaho",420264,550000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Illinois",3258300,4100000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Indiana",1694944,2100000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Iowa",832717,1e+06,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Kansas",759078,950000,2020-05-29,"18:22:30",2020-05-29 18:22:30
"F","Kentucky",1289779,1600000,2020-05-29,"18:22:30",2020-05-29 18:22:30
