"sex","region","daily","monthly","date","time_of_day","time_info"
"F","Michigan",58923,64000,2020-03-07,NA,NA
"F","Minnesota",35073,39000,2020-03-07,NA,NA
"F","Mississippi",23933,27000,2020-03-07,NA,NA
"F","Missouri",46456,52000,2020-03-07,NA,NA
"F","Montana",9987,11000,2020-03-07,NA,NA
"F","Nebraska",14685,16000,2020-03-07,NA,NA
"F","Nevada",35977,42000,2020-03-07,NA,NA
"F","New Hampshire",8368,9600,2020-03-07,NA,NA
"F","New Jersey",44286,48000,2020-03-07,NA,NA
"F","New Mexico",19358,22000,2020-03-07,NA,NA
"F","New York",90520,1e+05,2020-03-07,NA,NA
"F","North Carolina",86059,96000,2020-03-07,NA,NA
"F","North Dakota",8720,9200,2020-03-07,NA,NA
"F","Ohio",62278,68000,2020-03-07,NA,NA
"F","Oklahoma",27009,30000,2020-03-07,NA,NA
"F","Oregon",28788,32000,2020-03-07,NA,NA
"F","Pennsylvania",67017,73000,2020-03-07,NA,NA
"F","Rhode Island",6532,7200,2020-03-07,NA,NA
"F","South Carolina",51748,57000,2020-03-07,NA,NA
"F","South Dakota",8092,8700,2020-03-07,NA,NA
"F","Tennessee",59110,66000,2020-03-07,NA,NA
"F","Texas",228397,250000,2020-03-07,NA,NA
"F","Utah",22640,25000,2020-03-07,NA,NA
"F","Vermont",5007,5800,2020-03-07,NA,NA
"F","Virginia",72637,81000,2020-03-07,NA,NA
"F","West Virginia",13786,15000,2020-03-07,NA,NA
"F","Washington",52403,58000,2020-03-07,NA,NA
"F","Washington D. C.",16762,19000,2020-03-07,NA,NA
"F","Wisconsin",33599,37000,2020-03-07,NA,NA
"F","Wyoming",6325,7000,2020-03-07,NA,NA
"F","Canada",171851,190000,2020-03-07,NA,NA
"F","United States",1901349,2100000,2020-03-07,NA,NA
"M","Alberta",32956,36000,2020-03-08,NA,NA
"M","British Columbia",27687,32000,2020-03-08,NA,NA
"M","Manitoba",7475,8100,2020-03-08,NA,NA
"M","New Brunswick",3999,4500,2020-03-08,NA,NA
