date,sex,region,age_gp,monthly_trav,monthly_pop,month_yr,obs_rate,orig_date,loess_rate,loess_se
2020-06-01,M,Alabama,50-65,12000,410000,2020-06,0.02926829268292683,2020-06-15,0.02927564195775732,9.924003157589679e-4
2020-06-01,M,Alaska,13-29,2200,67000,2020-06,0.03283582089552239,2020-06-15,0.03259885040301325,0.0011585792821249064
2020-06-01,M,Alaska,30-50,3200,97000,2020-06,0.032989690721649485,2020-06-15,0.032989687845737116,0.001037076956302017
2020-06-01,M,Alaska,50-65,2000,66000,2020-06,0.030303030303030304,2020-06-15,0.030288036338506755,0.0013056260426621586
2020-06-01,M,Arizona,13-29,12000,540000,2020-06,0.022222222222222223,2020-06-15,0.0223107531150251,8.414819907554411e-4
2020-06-01,M,Arizona,30-50,22000,740000,2020-06,0.02972972972972973,2020-06-15,0.029527172413250834,0.0010647548170784778
2020-06-01,M,Arizona,50-65,17000,560000,2020-06,0.030357142857142857,2020-06-15,0.030269826818092645,9.70087222829469e-4
2020-06-01,M,Arkansas,13-29,6400,240000,2020-06,0.02666666666666667,2020-06-15,0.026838043033299567,6.205993926155024e-4
2020-06-01,M,Arkansas,30-50,11000,350000,2020-06,0.03142857142857143,2020-06-15,0.031428571428571445,0.0010764008366872051
2020-06-01,M,Arkansas,50-65,7300,250000,2020-06,0.0292,2020-06-15,0.029328828328815913,9.549340807014801e-4
2020-06-01,M,California,13-29,45000,2700000,2020-06,0.016666666666666666,2020-06-15,0.016630812179680075,5.682551791011164e-4
2020-06-01,M,California,30-50,82000,4300000,2020-06,0.019069767441860466,2020-06-15,0.019067490795036914,5.662857448316506e-4
2020-06-01,M,California,50-65,53000,2900000,2020-06,0.018275862068965518,2020-06-15,0.01832325340231205,5.910313715643385e-4
2020-06-01,M,Colorado,13-29,13000,480000,2020-06,0.027083333333333334,2020-06-15,0.026891999269025902,9.369657252937203e-4
2020-06-01,M,Colorado,30-50,19000,660000,2020-06,0.02878787878787879,2020-06-15,0.028945554377980503,0.00099687823005698375
2020-06-01,M,Colorado,50-65,12000,410000,2020-06,0.02926829268292683,2020-06-15,0.02912949345635887,0.0011476079244542455
2020-06-01,M,Connecticut,13-29,4100,250000,2020-06,0.0164,2020-06-15,0.016604428149581886,4.8265177063120865e-4
2020-06-01,M,Connecticut,30-50,6500,380000,2020-06,0.017105263157894738,2020-06-15,0.017129092256714638,5.562387994778853e-4
2020-06-01,M,Connecticut,50-65,5100,300000,2020-06,0.017,2020-06-15,0.017022173770802618,3.978756399003288e-4
2020-06-01,M,Delaware,13-29,2200,60000,2020-06,0.03666666666666667,2020-06-15,0.037032742064739534,0.001030462430251943
2020-06-01,M,Delaware,30-50,3700,95000,2020-06,0.03894736842105263,2020-06-15,0.03931214325065703,9.883426535268176e-4
2020-06-01,M,Delaware,50-65,3400,78000,2020-06,0.04358974358974359,2020-06-15,0.043830957814236474,9.620822995299026e-4
2020-06-01,M,Florida,13-29,40000,1400000,2020-06,0.02857142857142857,2020-06-15,0.02882626561256703,0.0010624710366561778
2020-06-01,M,Florida,30-50,76000,2300000,2020-06,0.03304347826086956,2020-06-15,0.033185583504210796,0.0010551016145378385
2020-06-01,M,Florida,50-65,64000,2000000,2020-06,0.032,2020-06-15,0.03226011008241388,7.860233687942122e-4
2020-06-01,M,Georgia,13-29,25000,770000,2020-06,0.032467532467532464,2020-06-15,0.032779588769595476,0.001064741887002114
2020-06-01,M,Georgia,30-50,47000,1200000,2020-06,0.03916666666666667,2020-06-15,0.039441563429177165,0.0012690176625123673
2020-06-01,M,Georgia,50-65,28000,800000,2020-06,0.035,2020-06-15,0.03537737629846179,0.001180338613711192
2020-06-01,M,Hawaii,13-29,3600,90000,2020-06,0.04,2020-06-15,0.03999606568259823,0.0014737457647210522
2020-06-01,M,Hawaii,30-50,3900,150000,2020-06,0.026,2020-06-15,0.026028533234934134,0.0010457884879474897
2020-06-01,M,Hawaii,50-65,2400,110000,2020-06,0.02181818181818182,2020-06-15,0.02185405097752161,0.0010234411155642885
2020-06-01,M,Idaho,13-29,4900,140000,2020-06,0.035,2020-06-15,0.035314384767822185,0.0010213805522956351
2020-06-01,M,Idaho,30-50,6800,180000,2020-06,0.03777777777777778,2020-06-15,0.03830520585832557,0.001324602141042808
2020-06-01,M,Idaho,50-65,5100,130000,2020-06,0.03923076923076923,2020-06-15,0.03907615429580297,0.001409739836892157
2020-06-01,M,Illinois,13-29,19000,1000000,2020-06,0.019,2020-06-15,0.01903088939726646,4.948298180245226e-4
2020-06-01,M,Illinois,30-50,31000,1400000,2020-06,0.02214285714285714,2020-06-15,0.022279897587272342,8.180013862134479e-4
2020-06-01,M,Illinois,50-65,20000,980000,2020-06,0.02040816326530612,2020-06-15,0.020469409609834545,5.521123354312235e-4
2020-06-01,M,Indiana,13-29,11000,510000,2020-06,0.021568627450980392,2020-06-15,0.021957924778791094,9.881988260904578e-4
2020-06-01,M,Indiana,30-50,19000,720000,2020-06,0.02638888888888889,2020-06-15,0.026607833322440076,7.741210591285291e-4
2020-06-01,M,Indiana,50-65,14000,540000,2020-06,0.025925925925925925,2020-06-15,0.025946429971384466,7.440566542871393e-4
2020-06-01,M,Iowa,13-29,6600,260000,2020-06,0.025384615384615384,2020-06-15,0.02550260297048985,6.641785307933862e-4
2020-06-01,M,Iowa,30-50,10000,350000,2020-06,0.02857142857142857,2020-06-15,0.028331061525755364,0.0010081915946868248
2020-06-01,M,Iowa,50-65,6900,260000,2020-06,0.02653846153846154,2020-06-15,0.02667845864251469,8.11481234799905e-4
2020-06-01,M,Kansas,13-29,7100,250000,2020-06,0.0284,2020-06-15,0.028816326527811076,6.625016549274379e-4
2020-06-01,M,Kansas,30-50,11000,330000,2020-06,0.03333333333333333,2020-06-15,0.03312522077957458,0.0012168994699292127
2020-06-01,M,Kansas,50-65,7100,250000,2020-06,0.0284,2020-06-15,0.028492050866273353,8.348322027458073e-4
2020-06-01,M,Kentucky,13-29,7900,370000,2020-06,0.021351351351351352,2020-06-15,0.02147187520150535,4.707627726242384e-4
2020-06-01,M,Kentucky,30-50,13000,530000,2020-06,0.024528301886792454,2020-06-15,0.024884442947867267,8.823749033193299e-4
2020-06-01,M,Kentucky,50-65,9100,390000,2020-06,0.023333333333333334,2020-06-15,0.023359070536631832,5.904047943605918e-4
2020-06-01,M,Louisiana,13-29,9500,330000,2020-06,0.02878787878787879,2020-06-15,0.02848876372816586,7.355971213399215e-4
2020-06-01,M,Louisiana,30-50,18000,530000,2020-06,0.033962264150943396,2020-06-15,0.03396608388787036,0.0013272808986813183
2020-06-01,M,Louisiana,50-65,9300,360000,2020-06,0.025833333333333333,2020-06-15,0.02589993991915212,5.719379251507082e-4
2020-06-01,M,Maine,13-29,2100,93000,2020-06,0.02258064516129032,2020-06-15,0.022920237213494437,8.311088473709361e-4
2020-06-01,M,Maine,30-50,3300,140000,2020-06,0.023571428571428573,2020-06-15,0.023915393032893455,6.773264204963909e-4
